"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2,D3,D1";"D_SOD-323";3;"D_Schottky";;;
2;"R7";"R_1206_3216Metric";1;"100k";;;
3;"U2,U1,U3";"TI_SO-PowerPAD-8_ThermalVias";3;"TPS5430DDA";;;
4;"C9";"C_0805_2012Metric";1;"220u";;;
5;"C2,C3,C1";"C_0805_2012Metric";3;"4.7uF";;;
6;"R4";"R_1206_3216Metric";1;"1.13k";;;
7;"R3,R5";"R_0603_1608Metric";2;"10k";;;
8;"R2";"R_1206_3216Metric";1;"3.3K";;;
9;"C4";"C_0603_1608Metric";1;"0.01 uF";;;
10;"L3";"L_Changjiang_FXL0630";1;"15uH";;;
11;"C12";"C_0603_1608Metric";1;"0.1uF";;;
12;"C6,C5";"C_0603_1608Metric";2;"0.01uf";;;
13;"L4,L5,L6,L2,L1";"L_Changjiang_FXL0630";5;"10uH";;;
14;"R6";"R_1206_3216Metric";1;"5.9k";;;
15;"J1";"PinHeader_2x32_P2.54mm_Vertical";1;"Conn_02x32_Row_Letter_First";;;
16;"R1";"R_0603_1608Metric";1;"10K";;;
17;"C8";"C_0805_2012Metric";1;"22u";;;
18;"C10";"C_1206_3216Metric";1;"680nF";;;
19;"C7";"C_Elec_6.3x7.7";1;"100uF";;;
20;"U4";"IC_TPS3431SDRBR";1;"TPS3431SDRBR";;;
21;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Power Out";;;
22;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Power In";;;
23;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Row_Letter_First";;;
24;"C11";"C_1206_3216Metric";1;"82nF";;;
